ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-07-16,13.868062020470564,11.490991525866162,17.454532586286817,13.868062020470564,13.868062020470564,0.5641821125211476,0.5641821125211476,0.5641821125211476,0.6442113408407633,0.6442113408407633,0.6442113408407633,-0.08002922831961565,-0.08002922831961565,-0.08002922831961565,0.0,0.0,0.0,14.43224413299171
2004-07-19,13.851977124525595,11.46443660947168,17.253556474092758,13.851977124525595,13.851977124525595,0.5501695622322029,0.5501695622322029,0.5501695622322029,0.6113980908416122,0.6113980908416122,0.6113980908416122,-0.06122852860940941,-0.06122852860940941,-0.06122852860940941,0.0,0.0,0.0,14.402146686757797
2004-07-20,13.84661549254394,11.398451642599644,17.118784870889105,13.84661549254394,13.84661549254394,0.5561372476128098,0.5561372476128098,0.5561372476128098,0.6084948208275521,0.6084948208275521,0.6084948208275521,-0.05235757321474239,-0.05235757321474239,-0.05235757321474239,0.0,0.0,0.0,14.40275274015675
2004-07-21,13.841253860562283,11.14867555860454,17.315314267730205,13.841253860562283,13.841253860562283,0.5881484246277435,0.5881484246277435,0.5881484246277435,0.6303748478267779,0.6303748478267779,0.6303748478267779,-0.042226423199034406,-0.042226423199034406,-0.042226423199034406,0.0,0.0,0.0,14.429402285190026
2004-07-22,13.835892228580628,11.4804425718336,17.386722468930454,13.835892228580628,13.835892228580628,0.5928075393601183,0.5928075393601183,0.5928075393601183,0.6237206475626229,0.6237206475626229,0.6237206475626229,-0.030913108202504487,-0.030913108202504487,-0.030913108202504487,0.0,0.0,0.0,14.428699767940746
2004-07-23,13.830530596598972,11.425783750029526,17.319119722093824,13.830530596598972,13.830530596598972,0.6256814738463384,0.6256814738463384,0.6256814738463384,0.6442113408392297,0.6442113408392297,0.6442113408392297,-0.01852986699289142,-0.01852986699289142,-0.01852986699289142,0.0,0.0,0.0,14.45621207044531
2004-07-26,13.814445700654003,11.450795098168424,17.262513739394834,13.814445700654003,13.814445700654003,0.6348492831174573,0.6348492831174573,0.6348492831174573,0.6113980908415866,0.6113980908415866,0.6113980908415866,0.023451192275870773,0.023451192275870773,0.023451192275870773,0.0,0.0,0.0,14.44929498377146
2004-07-27,13.809084068672346,11.449524675928615,17.28619810973089,13.809084068672346,13.809084068672346,0.6468886313275422,0.6468886313275422,0.6468886313275422,0.6084948208290034,0.6084948208290034,0.6084948208290034,0.03839381049853871,0.03839381049853871,0.03839381049853871,0.0,0.0,0.0,14.455972699999888
2004-07-28,13.803722436690691,11.444554187960602,17.420114039721685,13.803722436690691,13.803722436690691,0.6838036693024345,0.6838036693024345,0.6838036693024345,0.6303748478267324,0.6303748478267324,0.6303748478267324,0.05342882147570217,0.05342882147570217,0.05342882147570217,0.0,0.0,0.0,14.487526105993126
2004-07-29,13.798360804709034,11.587810682194043,17.32654679562974,13.798360804709034,13.798360804709034,0.6920271660899076,0.6920271660899076,0.6920271660899076,0.6237206475632455,0.6237206475632455,0.6237206475632455,0.0683065185266621,0.0683065185266621,0.0683065185266621,0.0,0.0,0.0,14.490387970798942
